blood_group,user_id,company,registration,address,ssn,username,name,mail,station_ID,longitude,latitude
B-,1384,Wulf Heinz AG,2024-06-13,"Zänkerweg 6-2, 75317 Pößneck",079-86-6480,ilias32,Herr Pirmin Stadelmann B.A.,bruno18@gmx.de,289,-9.5081185,-108.465353
O+,1398,Borges Moreira Ltda.,2024-10-11,"Fazenda Brenda Vieira, 51, Piratininga, 99724-022 Novais das Pedras / SP",84926073196,pedro-miguelvargas,Sr. Matheus Cirino,ana-beatrizpacheco@hotmail.com,326,38.5020005,151.185055
B-,163,高橋建設有限会社,2022-10-19,島根県豊島区上高野24丁目16番6号,127-45-0018,skobayashi,中村 真綾,vmaeda@yahoo.com,594,87.3250985,-83.533367
B+,112,Yang-Gray,2019-01-19,"93041 Wright Turnpike, Lake Loritown, RI 96307",765-77-3956,kochmario,Collin Wright,reaton@yahoo.com,738,-45.2256685,147.973684
A+,92,Johnson Ltd,2019-11-10,"0089 William Run, West Adam, TX 90462",457-20-6978,paul10,Kristina Murray,cameron61@hotmail.com,628,7.750758,71.027557
B+,917,Santos S/A,2019-05-17,"Alameda Moreira, Pindorama, 49244255 Sampaio do Sul / MA",02187365921,uazevedo,Elisa Rocha,danilo80@yahoo.com.br,17,,
B+,108,株式会社山本建設,2019-02-20,山形県川崎市多摩区猿楽町5丁目1番15号 渡辺クレスト497,609-01-3456,ffujiwara,斎藤 春香,ctakahashi@hotmail.com,474,84.336951,-9.103635
A-,704,有限会社高橋印刷,2022-10-04,広島県小金井市上吉羽10丁目21番4号 中鉢石町クレスト773,173-85-6984,gkondo,小林 陽一,nanamikato@hotmail.com,160,-87.144552,147.754453
AB-,2151,株式会社前田情報,2018-12-09,福島県横浜市瀬谷区丹勢2丁目2番3号 柿木沢パレス328,388-36-4251,esuzuki,佐々木 七夏,mituruendo@yahoo.com,276,59.933648,126.976228
B+,1754,Gröttner Trapp GmbH & Co. OHG,2019-09-08,"Ehlertgasse 4/5, 41485 Lobenstein",373-80-1277,vollbrechtheidrun,Erika Steinberg,rfranke@aol.de,597,60.3240145,139.648419
AB+,1082,石井電気有限会社,2022-12-28,山梨県府中市横林22丁目16番9号,608-19-9428,tsuzuki,高橋 淳,jkato@gmail.com,667,72.657279,96.086679
AB-,1617,Smith and Sons,2023-08-08,"5028 Katherine Brooks, Andersonshire, LA 77589",850-25-8421,jesus17,Brenda Edwards,mendozadakota@hotmail.com,308,8.915304,-71.944078
A-,2040,Priuli SPA,2019-10-15,"Piazza Morucci, 78 Piano 3, 25059, Vezza D'Oglio (BS)",GCMMRN60M67B084N,biancabotticelli,Sergius Bixio,sgramsci@virgilio.it,54,-56.335925,62.215399
AB+,1763,Weimer,2022-07-13,"Hildegund-Junck-Gasse 3636, 04730 Saulgau",544-20-0487,rico25,Martha Ditschlerin,neckbauer@web.de,566,-66.014282,-132.128129
B-,7,後藤情報株式会社,2025-09-14,,645-56-6452,momokosato,佐藤 晃,yamamotokaori@yahoo.com,413,-0.2330095,159.476336
AB-,2076,Moccia-Barzini Group,2021-09-28,"Strada Aurora, 47, 89135, Diminniti (RC)",NGRDNL06B14I054E,alessandrorosiello,Chiara Fagotto,yvalmarana@gmail.com,369,-88.8125425,90.316545
AB-,1782,株式会社中村鉱業,2019-06-08,広島県君津市東和町4丁目12番18号 シャルム白金台308,661-80-5458,yamamotonaoko,山本 拓真,byoshida@gmail.com,519,-28.2083085,-18.729925
B-,566,"Russell, Miller and Perry",2022-11-17,,793-67-6622,rkoch,Diana Hayes,pricesarah@gmail.com,464,-7.674239,106.107961
A+,2130,Murray-Dean,2020-04-16,"805 Maria Courts Suite 950, Lake Lindsayberg, WA 56172",378-17-7769,jtaylor,Jessica Anderson,jonathan78@yahoo.com,20,-21.0923405,7.369412
A-,1799,Rohleder AG,2022-08-18,"Holtring 7/1, 39062 Lippstadt",567-88-2877,biencamilla,Dipl.-Ing. Manuela Dussen van,nickpechel@gmx.de,227,,
AB+,144,Davids,2019-10-15,,459-58-1114,cstadelmann,Zeynep Gotthard,steinbergingolf@yahoo.de,139,-50.8308235,-125.055954
O+,1723,Rios-Christensen,2024-05-19,,143-74-8871,joseph82,Lorraine Davis,brownpeter@gmail.com,230,88.5739595,178.105133
A+,1772,Hering Süßebier KG,2018-09-26,"Riza-Trapp-Allee 82, 78458 Heiligenstadt",553-19-7996,bernfriedhaering,Melanie Wesack-Fischer,okarge@gmail.com,525,55.121393,-36.773937
A+,101,Binner Caspar e.G.,2022-06-21,"Burkhard-Hartmann-Weg 1-8, 89119 Bad Mergentheim",671-64-6360,margit60,Aldo Henck B.Sc.,cindystiebitz@yahoo.de,325,-25.4230725,-33.493053
AB+,1475,"Proietti, Agostinelli e Paruta s.r.l.",2024-10-18,"Via Raffaella, 9 Appartamento 28, 21025, Comerio (VA)",MRNRCR34C58H434G,claudioguicciardini,Dott. Pier Bongiorno,bpalombi@tin.it,650,-66.8627555,166.022378
O+,1573,Vogt Rogner AG & Co. KGaA,2023-07-20,"Gorlitzstraße 3/5, 68508 Naila",153-82-7281,egon44,Yvette Bachmann-Oderwald,bennoruppert@yahoo.de,186,60.843078,-123.093879
A-,2020,吉田食品合同会社,2024-10-10,和歌山県大島町北上野6丁目11番8号 コート鍛冶ケ沢710,064-31-2320,tomoya94,小林 真綾,moritomoya@yahoo.com,124,35.157982,-105.932633
AB+,186,Borges Garcia Ltda.,2024-04-28,"Aeroporto Ravi Pereira, 2, Alpes, 13275756 Machado / PB",98712604313,theo23,Marcela Silva,aragaocarlos-eduardo@bol.com.br,66,65.773185,141.001486
B-,275,Albuquerque - ME,2024-09-30,"Condomínio de Almeida, 775, Vila Novo São Lucas, 96090636 Ramos Alegre / PA",30589621777,theo99,Sr. Cauã Sá,tmontenegro@gmail.com,46,40.8285415,-148.664509
A-,1173,有限会社高橋ガス,2021-08-09,和歌山県横浜市港北区今戸29丁目26番1号,175-29-1089,naoko89,鈴木 洋介,haruka34@hotmail.com,548,-81.8882545,14.949614
B-,886,Wilms Ehlert AG,2018-09-25,"Beierallee 41/76, 17805 Amberg",921-07-1184,rjunk,Agnes Stahr,bodo33@aol.de,683,-31.5416815,30.351485
B+,1704,Schönland,2024-08-28,"Laura-Löwer-Ring 97-30, 43156 Husum",639-62-0135,rohtgeza,Dipl.-Ing. Rosi Löchel MBA.,gretchenradisch@hotmail.de,679,8.591075,100.985159
B-,1048,Walker Ltd,2025-08-13,"33391 Leonard Heights Suite 099, West Jennifer, WV 19813",001-45-9405,clarkjohn,Michelle Collins,nbryant@yahoo.com,561,16.2495885,-74.618971
A+,366,Farrell-Phillips,2023-10-01,"048 George Islands Suite 974, Mariabury, FL 83819",301-42-7702,brucealexander,Miss Sue Potter,darinharris@gmail.com,638,-25.020361,-174.383495
O-,690,有限会社山田通信,2020-09-28,埼玉県川崎市多摩区京橋9丁目13番1号 シティ土呂部547,893-02-8194,hashimotosayuri,井上 康弘,hiroshi32@hotmail.com,327,-50.895679,-25.695968
A-,1744,Gabrieli s.r.l.,2020-05-11,"Stretto Federici, 1 Appartamento 7, 84035, Polla (SA)",TLDMRA25H02D296M,gversace,Sole Bignami,ornellabuscetta@fastwebnet.it,605,11.9914275,13.769466
B-,2020,"Farnese, Cagnin e Adinolfi s.r.l.",2023-07-12,"Stretto Leone, 25, 26861, Retegno (LO)",CLLFBZ77R23B157K,tmodiano,Jolanda Florio,fuselivalerio@hotmail.com,19,-22.6852855,-17.72329
O-,1532,Toscanini s.r.l.,2021-11-27,"Via Fausto, 16, 03047, San Giorgio A Liri (FR)",TSSMNC06L04A053H,xgiannuzzi,Aldo Sorrentino-Giovine,oboezio@live.com,21,73.5014715,-83.781886
AB-,91,Fogaça,2023-08-07,"Travessa de Souza, 82, Lindéia, 95760-866 Jesus das Flores / TO",37421809597,tfogaca,Aurora Pastor,isabellabarbosa@yahoo.com.br,126,16.4794095,157.787367
A-,520,Woods Inc,2020-12-27,"53249 Turner Bypass, Smithberg, CO 82188",458-58-9569,ryan23,Jennifer Welch,dstokes@hotmail.com,76,21.11757,-145.956206
A-,1659,Rocha Lima e Filhos,2020-02-25,"Núcleo Bella Farias, Vila De Sá, 25012-410 Montenegro / SE",42857063938,walbuquerque,Rael Pires,psantos@ig.com.br,671,26.2399735,-133.917378
A+,393,Lima,2019-09-21,"Alameda de Fonseca, Santa Cecilia, 02571-742 Dias Grande / MA",23789105686,joao-gabrielfonseca,Elisa da Conceição,ynascimento@ig.com.br,360,-0.406609,-2.607556
AB-,593,Sorgatz GmbH & Co. KG,2023-06-10,"Nadeschda-Kranz-Platz 8-6, 68566 Bergzabern",891-98-3186,binnerbogdan,Dr. Kenneth Junk,zmetz@gmx.de,90,-35.5020795,64.082072
AB+,359,Jockel AG & Co. KG,2019-12-26,,427-46-9010,nada64,Branko Kramer,kruschwitzrico@aol.de,282,-43.722983,-14.949733
O-,1415,"Williams, Torres and Davis",2019-01-27,"0865 Michael Wall Apt. 301, South William, OH 98602",012-98-7541,williamsbrianna,Michael Suarez,christopher33@yahoo.com,178,68.3774815,136.078034
B+,1544,Borroni e figli,2022-03-21,"Rotonda Orlando, 3, 86077, Pozzilli (IS)",TRRGSN83R43G208L,francoantonioni,Corrado Visconti,rosinacavalcanti@tele2.it,102,-27.14703,-164.418776
O-,1243,太田情報有限会社,2024-02-19,,265-32-6458,rikafujiwara,松田 直人,yasuhiroabe@hotmail.com,538,64.3185595,7.839302
A-,70,Schüler Matthäi OHG mbH,2022-07-14,,153-93-8764,roehrdanzhorst-dieter,Pedro Döring,silvana27@yahoo.de,411,-83.850304,-94.395786
O+,404,株式会社西村農林,2024-02-15,,126-19-0226,hidekiokamoto,村上 康弘,qtakahashi@hotmail.com,122,-7.987934,144.499197
O+,2101,Santos,2023-09-20,"Distrito Alves, 8, Aparecida 7ª Seção, 98520-250 Santos / PI",32485176035,joao-gabrielsampaio,Thales Rodrigues,castrobeatriz@uol.com.br,35,-4.7560055,28.974123
O+,1337,吉田鉱業有限会社,2020-04-23,東京都長生郡長柄町戸島33丁目26番19号 筑土八幡町シティ855,261-86-2969,sasakiyosuke,林 舞,yasuhiro17@yahoo.com,650,-6.624855,96.163313
B+,1250,Novaes Leão S/A,2022-08-05,,69835721491,rfreitas,Eloá Guerra,teixeiraelisa@bol.com.br,220,-78.704824,129.735919
O+,2003,Römer,2020-01-24,,906-58-9062,toni41,Emma Loos,jscheel@yahoo.de,412,-41.352814,-119.306146
AB-,1,Moraes,2025-01-19,"Avenida Gomes, 31, Fernão Dias, 48594-331 Cavalcanti Grande / DF",60241795370,cporto,Enzo Gabriel Guerra,aurora37@ig.com.br,281,65.9171045,129.233853
A-,706,三浦銀行合同会社,2020-12-27,埼玉県山武市虎ノ門虎ノ門ヒルズ森タワー16丁目2番20号,359-96-7680,snakamura,伊藤 陽子,yoichiyoshida@yahoo.com,509,73.346095,-59.933565
AB+,1081,Spencer Ltd,2022-08-20,"018 Michele Plain, Jacksonville, LA 24063",143-53-4467,brendathornton,Timothy Reed,powens@yahoo.com,172,-65.111368,-156.5511
B+,664,Fiebig Wilmsen AG,2019-06-05,"Röhrichtstraße 4429, 62807 Dachau",549-19-2875,schmidtketomasz,Alexej Scheuermann,killerkarl-ludwig@yahoo.de,409,-46.0120705,-150.055958
A+,1932,Anderson-Thomas,2025-07-17,"7603 Michele Forest Suite 330, North Brandyland, AL 96256",632-87-3959,richard80,Melissa Lopez,jillianhenderson@hotmail.com,297,-2.3150635,-85.96665
B+,245,株式会社中島水産,2024-02-07,沖縄県川崎市高津区松浦町34丁目18番17号,330-36-0116,isato,鈴木 明美,yuta61@yahoo.com,600,68.661636,-80.961881
O-,928,Tarantino s.r.l.,2021-01-12,,BRTFMM62T22H642F,carolinatozzi,Domenico Scarlatti-Scandone,kfoa@virgilio.it,411,-32.862534,-19.997783
A-,662,da Rosa,2023-07-20,"Lago Sales, 2, Xodo-Marize, 81224-795 Camargo Alegre / SC",09634751261,sarahcaldeira,Maria Cecília Casa Grande,luanda-luz@hotmail.com,480,-39.8477175,116.700442
A+,1803,佐藤通信有限会社,2025-08-17,岡山県印旛郡栄町中川崎29丁目23番5号,630-78-8266,takahashiyuta,藤田 健一,jinoue@hotmail.com,283,-1.2185545,140.726787
AB-,1665,池田保険株式会社,2019-08-31,,374-12-2590,qnakagawa,清水 智也,ainoue@yahoo.com,501,-79.637869,116.399337
B-,1536,合同会社高橋建設,2025-04-02,富山県足立区脚折36丁目21番13号,503-51-7444,nanamisato,高橋 健一,xsaito@hotmail.com,714,,
B-,962,Camanni SPA,2019-11-30,"Viale Russo, 16 Piano 1, 80067, Sorrento (NA)",DTTSTL83M03I232V,ritaccagioele,Piergiuseppe Scotti,sorrentinofrancesco@hotmail.com,85,44.635425,-57.561866
O-,667,Seidel OHG mbH,2020-04-30,,034-81-0446,xdoerschner,Susanne Trub,hessnelly@googlemail.com,172,46.066119,59.197234
AB-,0,Dörr Wähner GmbH & Co. KG,2021-09-20,"Nohlmansgasse 24/34, 16455 Dachau",447-50-9207,stiebitzmarzena,Kornelius Kramer,flantzgernot@aol.de,96,7.5638675,-98.052562
B-,1706,株式会社田中印刷,2024-01-22,愛媛県君津市西関宿24丁目9番12号 西小来川パーク826,542-38-1015,yuta45,中村 京助,ksasaki@gmail.com,492,-53.1510995,127.880972
O+,2054,Brown-Shaw,2024-11-21,"944 James Isle Apt. 986, West Sara, RI 04501",599-75-1255,bnewton,Brianna Rodriguez,michaelperez@gmail.com,105,-65.416998,80.84914
B-,589,Bradford-Holt,2020-11-22,"317 Mcclure Run Apt. 090, Lake Annefurt, VI 21801",777-22-7010,sstephens,Francis Carroll,lcosta@gmail.com,288,-88.7505145,133.358543
O+,826,Schmiedecke KGaA,2023-02-03,"Horniggasse 6564, 34274 Leipziger Land",174-80-5779,christophnelly,Rosi Holsten,hsegebahn@googlemail.com,173,-62.406027,-67.875527
O+,707,合同会社山田ガス,2025-05-30,愛知県長生郡長柄町外神田18丁目18番19号,807-62-4347,naokosasaki,西村 和也,aokihanako@gmail.com,37,-72.911377,67.164958
AB+,247,合同会社三浦情報,2024-08-16,埼玉県横浜市鶴見区秋葉原23丁目23番17号,549-72-5756,takuma08,三浦 結衣,chiyo35@hotmail.com,333,-24.679075,58.523821
A-,1806,Heydrich Vogt AG,2021-04-10,"Schlosserweg 62, 44947 Bitterfeld",460-27-6513,eggert14,Sylvia Vollbrecht-Trupp,kschaefer@gmx.de,657,45.7467715,135.837068
O-,1950,Henck GmbH & Co. OHG,2024-03-15,"Ackermannstr. 62-67, 04611 Erbisdorf",118-20-2950,notburga66,Monika Wagenknecht,pfaust@web.de,56,59.29722,-27.171735
O+,813,Fagotto Group,2025-07-08,"Contrada Piacentini, 51, 92025, Casteltermini (AG)",MRCLND80H59D945V,antoniogiacometti,Pierangelo Sansoni,erikacurci@tele2.it,516,55.3159355,72.834881
AB-,1587,Thompson-Deleon,2020-07-09,"965 Ashley Forge Suite 925, East Virginia, NJ 94816",255-49-9911,nelsonbrandon,Jaclyn Hogan,hperry@gmail.com,90,70.1797235,155.499782
A-,254,"Scott, Wood and Aguilar",2020-06-27,"953 Morgan Prairie Suite 230, North Sarah, TN 69917",354-46-6753,schultzgerald,Brian Crawford,nicole20@yahoo.com,688,38.1133005,-21.040794
AB+,673,Macedo e Filhos,2025-01-05,"Passarela Pacheco, Universitário, 95589-631 Dias / PA",78903256492,krios,Gabrielly da Costa,rebeca45@ig.com.br,298,-37.853847,49.416775
AB+,14,伊藤水産株式会社,2025-03-02,青森県長生郡長柄町細竹5丁目4番5号 細野アーバン294,174-42-8264,reitakahashi,太田 花子,yamadamaaya@gmail.com,422,84.3548405,140.301109
B-,1459,有限会社山田鉱業,2024-07-11,東京都墨田区京橋34丁目7番14号,600-79-6316,akira25,佐藤 里佳,rito@yahoo.com,69,26.7565975,119.194841
B+,1804,Lyons-Bryant,2025-01-20,"8297 Martin Fall Apt. 683, West Marychester, PA 61378",635-53-6993,nelsonmichelle,Megan Foley,marykey@gmail.com,60,10.921807,-81.629107
AB+,1003,"Cossiga, Alonzi e Grisoni s.r.l.",2019-05-09,"Incrocio Marina, 7 Appartamento 51, 63083, Appignano Del Tronto (AP)",BCCFLV44M44G959E,botticellistefania,Bianca Roccabonella,tinaagostinelli@tele2.it,616,83.279087,132.532611
AB+,1737,Bell-Rodriguez,2023-11-12,"PSC 4423, Box 6101, APO AE 58369",283-64-4603,ptaylor,Caitlin Allison,maria14@yahoo.com,349,-60.022148,152.830963
O-,246,da Rosa,2025-05-21,"Viaduto de Souza, 49, Conjunto Jardim Filadélfia, 86288-212 Caldeira / CE",83076925121,enriconunes,Luiz Henrique Moraes,aviana@ig.com.br,95,-42.3462905,-162.633132
O+,337,Cannon-Black,2021-11-15,"03413 Ramirez Glen Apt. 343, East Ronald, ND 43564",647-21-2069,carlosbaxter,Lance Rowe,reynoldscatherine@yahoo.com,590,8.59653,45.310085
AB-,1715,Römer GbR,2021-03-04,,651-01-7931,wielandhenk,Univ.Prof. Friedhelm Lange,ddoering@gmx.de,532,-43.753912,26.174946
A-,1158,佐藤印刷有限会社,2021-10-21,群馬県武蔵野市平河町34丁目19番2号 パーク平須賀318,084-66-2891,naoto80,吉田 くみ子,osamuyamamoto@hotmail.com,371,23.3539185,-82.69362
A-,2021,Arnold-Gonzalez,2022-09-11,"16514 Robert Greens, Annamouth, MI 95108",399-36-4970,hallstephanie,Barbara Ford,xrusso@gmail.com,269,69.2254545,16.583492
O-,333,Duarte,2023-09-17,"Ladeira de Moraes, 68, Padre Eustáquio, 91935064 Dias de Vieira / RS",13079862503,maria-lauraaparecida,Thiago Dias,gbarbosa@uol.com.br,265,-79.8325255,96.975768
B-,160,Davidson-Brown,2024-05-19,"38659 Frazier Circle, Tammyberg, SC 75487",755-39-3267,mclements,Mario Villanueva,bishopedwin@yahoo.com,197,-30.6453145,8.553112
AB+,1692,Kensy,2020-10-31,"Drubweg 7, 06033 Biedenkopf",549-96-5261,schlossersiegmar,Stefan Neuschäfer,weitzelrecep@yahoo.de,497,27.641775,112.704893
O+,1702,Kaul Rust GmbH & Co. KG,2022-06-16,"Herrmanngasse 46/16, 87950 Passau",226-42-3494,karl-georgkobelt,Gilda Beier,seidelkai-uwe@gmail.com,545,-14.5356515,124.225802
O-,1569,Albers Weiß e.V.,2018-10-23,"Edelbert-Dussen van-Platz 12-70, 28030 Jessen",368-58-9587,rosemannriza,Hans-Helmut Thies,qaustermuehle@aol.de,547,-82.797785,-105.765279
AB-,1333,山口ガス有限会社,2024-08-14,岐阜県板橋区一ツ橋5丁目18番10号 鍛冶ケ沢パーク916,153-55-7887,winoue,橋本 七夏,mituru78@yahoo.com,289,41.7656515,-2.589011
O-,40,有限会社渡辺建設,2022-02-11,島根県袖ケ浦市前弥六南町17丁目23番5号 コート京橋686,430-71-1527,jun41,中村 結衣,ryosuke16@yahoo.com,197,80.787357,7.89554
B+,1063,山下水産有限会社,2021-12-24,岡山県夷隅郡大多喜町東浅草32丁目25番7号 クレスト竜泉074,539-96-2953,itoyuta,佐藤 舞,otanaoki@yahoo.com,331,-37.0856475,146.269984
AB-,381,"Sharp, Sullivan and Osborn",2025-06-14,"09676 William Lake, West Brentberg, WY 31923",556-63-0709,lindsey79,Rodney Harris,leonard12@hotmail.com,455,-14.4338905,-143.766601
A-,199,Barbosa Pires S/A,2019-07-08,"Esplanada Ana Sophia Brito, 39, Conjunto Bonsucesso, 26722453 Duarte da Serra / MG",69082157411,melina83,Emilly Jesus,maria-lizcasa-grande@bol.com.br,558,,
A-,1376,有限会社伊藤通信,2021-03-29,滋賀県夷隅郡大多喜町二つ室28丁目20番6号,200-26-0889,tsubasa09,木村 康弘,nakamurayuki@yahoo.com,106,-18.933811,66.551145
O-,805,"Anderson, Carter and Gibson",2025-07-26,"13656 Whitney Place Apt. 942, Lake Christopher, HI 36692",754-83-8400,carlos74,Aaron Coleman,kim37@yahoo.com,406,-58.443542,-7.357921
O-,845,"Stone, Torres and Hernandez",2024-04-07,"727 Wilson Crescent, Port Chelsea, SC 56210",333-26-6694,robert56,Latasha Liu,andreabrown@gmail.com,268,-59.960167,-69.292274
A-,4,Grein Groth,2019-12-19,,498-63-1171,madlenjunck,Herr Randolf Bender B.Eng.,wenkehermighausen@googlemail.com,141,,
A+,1720,Correia,2020-12-03,"Favela de Sá, 24, Vila Jardim Montanhes, 64211-919 Cardoso / CE",08273519686,tnogueira,Aylla Viana,barrosmaria-clara@uol.com.br,440,-18.8622185,-41.261341
B-,251,Machado,2025-06-15,"Viela Novaes, 24, Itaipu, 73398-594 Caldeira / PI",18064257930,caio24,João Guilherme Ferreira,montenegrobenicio@ig.com.br,144,51.383267,-19.243294
AB-,1767,Silveira,2022-01-06,"Fazenda de Alves, Grajaú, 46892754 Oliveira de Minas / DF",57021834608,aragaoyuri,Thomas da Paz,mourafelipe@gmail.com,66,79.422306,-66.746036
B-,1815,合同会社近藤ガス,2024-03-21,長崎県安房郡鋸南町東上野13丁目25番14号 コート東和町050,363-47-3613,yosuke26,松田 直子,hidekiota@yahoo.com,31,-35.4615735,43.89382
A+,1249,森ガス株式会社,2021-12-14,徳島県川崎市川崎区元浅草21丁目9番16号 シャルム港南692,778-58-2710,yukitakahashi,吉田 修平,nakajimakumiko@hotmail.com,591,87.267917,-18.073789
AB+,2005,Hiller Segebahn AG & Co. KG,2021-09-22,"Holger-Henschel-Ring 5829, 04780 Rockenhausen",818-61-2221,ottfriedscholl,Hans-Joachim Ullmann,jaekelmarlen@aol.de,708,-47.3122575,-133.003668
AB+,1136,Jesus Nascimento S.A.,2024-01-13,"Residencial Sampaio, São Geraldo, 69461-966 Farias / CE",19064728585,maria-isis25,Clara Araújo,valentim86@hotmail.com,312,4.2268645,-99.755868
A-,240,Gieß Rörricht e.G.,2019-06-01,"Utz-Juncken-Platz 95/60, 55880 Sankt Goar",124-13-7321,roerrichtcornelius,Cäcilie Buchholz-Sager,alban01@yahoo.de,640,-70.0651595,113.862505
AB-,120,Carullo-Sollima Group,2020-08-17,"Piazza Ivan, 2, 63072, Ripaberarda (AP)",GRGLRN19L04D851Y,pacomiorossana,Antonino Baresi,ybettin@libero.it,440,-77.6087695,-10.972442
A+,107,有限会社高橋電気,2022-12-09,茨城県大網白里市細竹22丁目24番10号 麹町パーク547,225-93-5637,zmori,村上 直人,kaoriishikawa@yahoo.com,86,63.7996945,-162.838965
B+,244,"Foster, Cooper and Mendoza",2025-08-02,"575 Garcia Square, Port Michele, AZ 38919",348-09-7171,melissajohnson,Hunter Hess,hansonamanda@yahoo.com,429,42.507542,122.553352
AB+,1092,Bolnbach,2023-02-15,"Gertzweg 2, 81792 Soest",937-60-9362,margarete59,Dr. Magrit Budig B.Eng.,xaverkrein@gmail.com,122,-36.1628325,-112.72942
A-,1069,Abreu Campos - EI,2021-12-29,"Avenida de Rezende, Vila Antena Montanhês, 41192242 Aragão do Oeste / PB",34728015653,vasconcelosmirella,Ravy Montenegro,da-rosapedro-henrique@ig.com.br,648,54.1286545,92.869719
O+,1349,da Mata S/A,2020-12-10,"Esplanada Novais, 39, Camponesa 1ª Seção, 84092601 Barros / DF",72365184928,clima,Pedro Lucas Aragão,diogosiqueira@yahoo.com.br,504,29.955556,-165.583559
A+,898,Marques,2023-08-17,"Núcleo Alexandre Vieira, 6, Vila São Geraldo, 58796-924 Câmara / GO",18743290604,maria-vitoria47,Amanda Aparecida,eduarda04@hotmail.com,550,38.571328,-66.517863
