blood_group	user_id	company	registration	address	job	ssn	username	residence	name	current_location	mail	station_ID
B-	1384	Wulf Heinz AG	2024/06/13	"Zänkerweg 6-2
75317 Pößneck"		079-86-6480	ilias32		Herr Pirmin Stadelmann B.A.	(Decimal('-9.5081185'), Decimal('-108.465353'))	bruno18@gmx.de	289
O+	1398	Borges Moreira Ltda.	10/11/2024, 00:00:00	"Fazenda Brenda Vieira, 51
Piratininga
99724-022 Novais das Pedras / SP"		84926073196	pedro-miguelvargas		Sr. Matheus Cirino	(Decimal('38.5020005'), Decimal('151.185055'))	ana-beatrizpacheco@hotmail.com	326
B-	163	高橋建設有限会社	10/19/2022, 00:00:00	島根県豊島区上高野24丁目16番6号		127-45-0018	skobayashi		中村 真綾	(Decimal('87.3250985'), Decimal('-83.533367'))	vmaeda@yahoo.com	594
B+	112	Yang-Gray	2019/01/19	"93041 Wright Turnpike
Lake Loritown, RI 96307"		765-77-3956	kochmario		Collin Wright	(Decimal('-45.2256685'), Decimal('147.973684'))	reaton@yahoo.com	738
A+	92	Johnson Ltd	2019/11/10	"0089 William Run
West Adam, TX 90462"		457-20-6978	paul10		Kristina Murray	(Decimal('7.750758'), Decimal('71.027557'))	cameron61@hotmail.com	628
B+	917	Santos S/A	2019/05/17	"Alameda Moreira
Pindorama
49244255 Sampaio do Sul / MA"	Guarda roupeiro	02187365921	uazevedo		Elisa Rocha		danilo80@yahoo.com.br	17
B+	108	株式会社山本建設	02/20/2019, 00:00:00	山形県川崎市多摩区猿楽町5丁目1番15号 渡辺クレスト497		609-01-3456	ffujiwara		斎藤 春香	(Decimal('84.336951'), Decimal('-9.103635'))	ctakahashi@hotmail.com	474
A-	704	有限会社高橋印刷	2022/10/04	広島県小金井市上吉羽10丁目21番4号 中鉢石町クレスト773		173-85-6984	gkondo		小林 陽一	(Decimal('-87.144552'), Decimal('147.754453'))	nanamikato@hotmail.com	160
AB-	2151	株式会社前田情報	2018/12/09	福島県横浜市瀬谷区丹勢2丁目2番3号 柿木沢パレス328	公認会計士	388-36-4251	esuzuki		佐々木 七夏	(Decimal('59.933648'), Decimal('126.976228'))	mituruendo@yahoo.com	276
B+	1754	Gröttner Trapp GmbH & Co. OHG	08 Sep 2019	"Ehlertgasse 4/5
41485 Lobenstein"		373-80-1277	vollbrechtheidrun		Erika Steinberg	(Decimal('60.3240145'), Decimal('139.648419'))	rfranke@aol.de	597
AB+	1082	石井電気有限会社	12/28/2022, 00:00:00	山梨県府中市横林22丁目16番9号		608-19-9428	tsuzuki		高橋 淳	(Decimal('72.657279'), Decimal('96.086679'))	jkato@gmail.com	667
AB-	1617	Smith and Sons	08 Aug 2023	"5028 Katherine Brooks
Andersonshire, LA 77589"		850-25-8421	jesus17		Brenda Edwards	(Decimal('8.915304'), Decimal('-71.944078'))	mendozadakota@hotmail.com	308
A-	2040	Priuli SPA	15 Oct 2019	"Piazza Morucci, 78 Piano 3
25059, Vezza D'Oglio (BS)"	Actuary	GCMMRN60M67B084N	biancabotticelli		Sergius Bixio	(Decimal('-56.335925'), Decimal('62.215399'))	sgramsci@virgilio.it	54
AB+	1763	Weimer	2022-07-13	"Hildegund-Junck-Gasse 3636
04730 Saulgau"		544-20-0487	rico25		Martha Ditschlerin	(Decimal('-66.014282'), Decimal('-132.128129'))	neckbauer@web.de	566
B-	7	後藤情報株式会社	2025-09-14			645-56-6452	momokosato		佐藤 晃	(Decimal('-0.2330095'), Decimal('159.476336'))	yamamotokaori@yahoo.com	413
AB-	2076	Moccia-Barzini Group	28 Sep 2021	"Strada Aurora, 47
89135, Diminniti (RC)"		NGRDNL06B14I054E	alessandrorosiello		Chiara Fagotto	(Decimal('-88.8125425'), Decimal('90.316545'))	yvalmarana@gmail.com	369
AB-	1782	株式会社中村鉱業	2019/06/08	広島県君津市東和町4丁目12番18号 シャルム白金台308		661-80-5458	yamamotonaoko		山本 拓真	(Decimal('-28.2083085'), Decimal('-18.729925'))	byoshida@gmail.com	519
B-	566	Russell, Miller and Perry	2022/11/17			793-67-6622	rkoch		Diana Hayes	(Decimal('-7.674239'), Decimal('106.107961'))	pricesarah@gmail.com	464
A+	2130	Murray-Dean	16 Apr 2020	"805 Maria Courts Suite 950
Lake Lindsayberg, WA 56172"	Make	378-17-7769	jtaylor		Jessica Anderson	(Decimal('-21.0923405'), Decimal('7.369412'))	jonathan78@yahoo.com	20
A-	1799	Rohleder AG	2022/08/18	"Holtring 7/1
39062 Lippstadt"		567-88-2877	biencamilla		Dipl.-Ing. Manuela Dussen van		nickpechel@gmx.de	227
AB+	144	Davids	15 Oct 2019		Ausbaufacharbeiter	459-58-1114	cstadelmann		Zeynep Gotthard	(Decimal('-50.8308235'), Decimal('-125.055954'))	steinbergingolf@yahoo.de	139
O+	1723	Rios-Christensen	2024-05-19			143-74-8871	joseph82		Lorraine Davis	(Decimal('88.5739595'), Decimal('178.105133'))	brownpeter@gmail.com	230
A+	1772	Hering Süßebier KG	09/26/2018, 00:00:00	"Riza-Trapp-Allee 82
78458 Heiligenstadt"		553-19-7996	bernfriedhaering		Melanie Wesack-Fischer	(Decimal('55.121393'), Decimal('-36.773937'))	okarge@gmail.com	525
A+	101	Binner Caspar e.G.	2022-06-21	"Burkhard-Hartmann-Weg 1-8
89119 Bad Mergentheim"		671-64-6360	margit60		Aldo Henck B.Sc.	(Decimal('-25.4230725'), Decimal('-33.493053'))	cindystiebitz@yahoo.de	325
AB+	1475	Proietti, Agostinelli e Paruta s.r.l.	2024-10-18	"Via Raffaella, 9 Appartamento 28
21025, Comerio (VA)"		MRNRCR34C58H434G	claudioguicciardini		Dott. Pier Bongiorno	(Decimal('-66.8627555'), Decimal('166.022378'))	bpalombi@tin.it	650
O+	1573	Vogt Rogner AG & Co. KGaA	07/20/2023, 00:00:00	"Gorlitzstraße 3/5
68508 Naila"		153-82-7281	egon44		Yvette Bachmann-Oderwald	(Decimal('60.843078'), Decimal('-123.093879'))	bennoruppert@yahoo.de	186
